index,Date,Type of transport,Foreign Visitors
0,01-01-04, Waterway,9018
1,01-01-04, Air,41496
2,01-01-04, Railway,22068
3,01-01-04, Road,240971
4,02-01-04, Waterway,10150
5,02-01-04, Air,49627
6,02-01-04, Railway,20790
7,02-01-04, Road,269876
8,03-01-04, Waterway,11073
9,03-01-04, Air,58128
10,03-01-04, Railway,21269
11,03-01-04, Road,341169
12,04-01-04, Waterway,13374
13,04-01-04, Air,58106
14,04-01-04, Railway,23223
15,04-01-04, Road,348056
16,05-01-04, Waterway,17936
17,05-01-04, Air,71199
18,05-01-04, Railway,24399
19,05-01-04, Road,448166
20,06-01-04, Waterway,19140
21,06-01-04, Air,68241
22,06-01-04, Railway,29196
23,06-01-04, Road,536356
24,07-01-04, Waterway,23539
25,07-01-04, Air,72003
26,07-01-04, Railway,41137
27,07-01-04, Road,700657
28,08-01-04, Waterway,22127
29,08-01-04, Air,68408
30,08-01-04, Railway,40384
31,08-01-04, Road,725868
32,09-01-04, Waterway,20142
33,09-01-04, Air,67403
34,09-01-04, Railway,25576
35,09-01-04, Road,531500
36,10-01-04, Waterway,17416
37,10-01-04, Air,57764
38,10-01-04, Railway,21762
39,10-01-04, Road,485083
40,11-01-04, Waterway,11512
41,11-01-04, Air,47471
42,11-01-04, Railway,18476
43,11-01-04, Road,396995
44,12-01-04, Waterway,10829
45,12-01-04, Air,44621
46,12-01-04, Railway,20034
47,12-01-04, Road,376381
48,01-01-05, Waterway,8410
49,01-01-05, Air,46540
50,01-01-05, Railway,19271
51,01-01-05, Road,282546
52,02-01-05, Waterway,7015
53,02-01-05, Air,53076
54,02-01-05, Railway,15855
55,02-01-05, Road,234203
56,03-01-05, Waterway,8815
57,03-01-05, Air,65928
58,03-01-05, Railway,19427
59,03-01-05, Road,336317
60,04-01-05, Waterway,13138
61,04-01-05, Air,72834
62,04-01-05, Railway,19108
63,04-01-05, Road,350324
64,05-01-05, Waterway,18522
65,05-01-05, Air,93879
66,05-01-05, Railway,20968
67,05-01-05, Road,360631
68,06-01-05, Waterway,22648
69,06-01-05, Air,88898
70,06-01-05, Railway,23909
71,06-01-05, Road,387318
72,07-01-05, Waterway,21293
73,07-01-05, Air,98887
74,07-01-05, Railway,44340
75,07-01-05, Road,513510
76,08-01-05, Waterway,21241
77,08-01-05, Air,89755
78,08-01-05, Railway,44369
79,08-01-05, Road,573191
80,09-01-05, Waterway,21799
81,09-01-05, Air,89438
82,09-01-05, Railway,29898
83,09-01-05, Road,390782
84,10-01-05, Waterway,21410
85,10-01-05, Air,81655
86,10-01-05, Railway,24074
87,10-01-05, Road,349505
88,11-01-05, Waterway,11247
89,11-01-05, Air,73605
90,11-01-05, Railway,20445
91,11-01-05, Road,314980
92,12-01-05, Waterway,11363
93,12-01-05, Air,64553
94,12-01-05, Railway,23071
95,12-01-05, Road,335383
96,01-01-06, Waterway,9072
97,01-01-06, Air,63727
98,01-01-06, Railway,20645
99,01-01-06, Road,244204
100,02-01-06, Waterway,9023
101,02-01-06, Air,61802
102,02-01-06, Railway,19169
103,02-01-06, Road,241715
104,03-01-06, Waterway,11251
105,03-01-06, Air,75230
106,03-01-06, Railway,21213
107,03-01-06, Road,288538
108,04-01-06, Waterway,11124
109,04-01-06, Air,87261
110,04-01-06, Railway,23238
111,04-01-06, Road,324543
112,05-01-06, Waterway,23555
113,05-01-06, Air,102951
114,05-01-06, Railway,22309
115,05-01-06, Road,337428
116,06-01-06, Waterway,21801
117,06-01-06, Air,108964
118,06-01-06, Railway,25848
119,06-01-06, Road,388315
120,07-01-06, Waterway,22224
121,07-01-06, Air,117986
122,07-01-06, Railway,46995
123,07-01-06, Road,507107
124,08-01-06, Waterway,21214
125,08-01-06, Air,111265
126,08-01-06, Railway,44074
127,08-01-06, Road,548645
128,09-01-06, Waterway,27119
129,09-01-06, Air,106094
130,09-01-06, Railway,26411
131,09-01-06, Road,384055
132,10-01-06, Waterway,28480
133,10-01-06, Air,107794
134,10-01-06, Railway,22485
135,10-01-06, Road,369108
136,11-01-06, Waterway,11722
137,11-01-06, Air,92737
138,11-01-06, Railway,19959
139,11-01-06, Road,356959
140,12-01-06, Waterway,12455
141,12-01-06, Air,85880
142,12-01-06, Railway,23546
143,12-01-06, Road,399759
144,01-01-07, Waterway,11224
145,01-01-07, Air,85188
146,01-01-07, Railway,14691
147,01-01-07, Road,228325
148,02-01-07, Waterway,10458
149,02-01-07, Air,87979
150,02-01-07, Railway,13971
151,02-01-07, Road,248317
152,03-01-07, Waterway,12124
153,03-01-07, Air,104833
154,03-01-07, Railway,15382
155,03-01-07, Road,344785
156,04-01-07, Waterway,14467
157,04-01-07, Air,114405
158,04-01-07, Railway,17916
159,04-01-07, Road,389070
160,05-01-07, Waterway,20622
161,05-01-07, Air,133938
162,05-01-07, Railway,19794
163,05-01-07, Road,452487
164,06-01-07, Waterway,29589
165,06-01-07, Air,138523
166,06-01-07, Railway,26867
167,06-01-07, Road,470010
168,07-01-07, Waterway,29367
169,07-01-07, Air,152077
170,07-01-07, Railway,44580
171,07-01-07, Road,736792
172,08-01-07, Waterway,31634
173,08-01-07, Air,143517
174,08-01-07, Railway,42702
175,08-01-07, Road,798944
176,09-01-07, Waterway,25951
177,09-01-07, Air,148840
178,09-01-07, Railway,24663
179,09-01-07, Road,554184
180,10-01-07, Waterway,25134
181,10-01-07, Air,139529
182,10-01-07, Railway,19816
183,10-01-07, Road,520162
184,11-01-07, Waterway,11504
185,11-01-07, Air,117434
186,11-01-07, Railway,16053
187,11-01-07, Road,487232
188,12-01-07, Waterway,12273
189,12-01-07, Air,93645
190,12-01-07, Railway,18150
191,12-01-07, Road,522593
192,01-01-08, Waterway,9407
193,01-01-08, Air,94709
194,01-01-08, Railway,16767
195,01-01-08, Road,415838
196,02-01-08, Waterway,11665
197,02-01-08, Air,107418
198,02-01-08, Railway,12571
